episode,step,return,length
613,209549,214.36,307
614,209794,38.16,245
615,210083,256.98,289
616,210441,-19.86,358
617,210826,232.14,385
618,211099,263.72,273
619,211361,12.63,262
620,211631,225.59,270
621,212132,214.0,501
622,212981,276.28,849
623,213430,-50.09,449
624,213713,255.08,283
625,214007,230.3,294
626,214834,-118.11,827
627,215165,254.8,331
628,215392,274.7,227
629,215841,162.64,449
630,216125,253.08,284
631,216472,194.91,347
632,216900,-39.55,428
633,217209,238.89,309
634,217594,213.78,385
635,217909,243.86,315
636,218118,-24.84,209
637,218420,258.51,302
638,218738,-20.1,318
639,219057,263.42,319
640,219421,242.58,364
641,219793,-23.6,372
642,220243,270.38,450
643,220782,185.16,539
644,221175,200.95,393
645,221496,-33.24,321
646,221793,-30.87,297
647,222241,208.25,448
648,222763,243.22,522
649,223377,174.0,614
650,223593,-8.01,216
651,223787,32.22,194
652,224126,258.27,339
653,224447,244.61,321
654,225022,236.64,575
655,226022,79.92,1000
656,226338,-6.25,316
657,226569,5.8,231
658,226868,231.05,299
659,227439,182.31,571
660,227721,-4.86,282
661,228068,243.4,347
662,228342,24.59,274
663,228698,206.5,356
664,228961,254.65,263
665,229308,206.53,347
666,229644,248.19,336
667,230081,-73.85,437
668,230269,37.46,188
669,230430,-10.04,161
670,230783,221.43,353
671,231138,230.12,355
672,231513,231.43,375
673,231864,259.15,351
674,232457,147.2,593
675,232878,218.11,421
676,233180,251.37,302
677,233491,253.75,311
678,233770,258.91,279
679,234157,225.1,387
680,234505,242.58,348
681,234973,224.68,468
682,235400,256.17,427
683,235830,203.07,430
684,236372,244.71,542
685,236615,6.12,243
686,236935,254.93,320
687,237310,234.93,375
688,237612,256.44,302
689,237918,263.29,306
690,238249,-25.49,331
691,238643,249.99,394
692,239013,218.93,370
693,239284,33.66,271
694,239692,228.82,408
695,240406,176.19,714
696,240735,-11.01,329
697,241042,243.99,307
698,241419,-0.03,377
699,242075,250.05,656
700,242467,212.43,392
701,242821,260.52,354
702,243152,232.51,331
703,243547,259.62,395
704,243896,241.69,349
705,244234,226.81,338
706,244534,11.0,300
707,244940,214.45,406
708,245263,-22.4,323
709,245673,220.52,410
710,246106,219.21,433
711,246430,267.04,324
712,246739,295.1,309
713,247231,259.51,492
714,247536,234.69,305
715,247912,247.91,376
716,248282,258.06,370
717,248709,234.85,427
718,249100,273.51,391
719,249378,31.74,278
720,249676,235.35,298
721,249941,3.83,265
722,250280,248.51,339
723,250549,44.41,269
724,250908,245.56,359
725,251296,238.18,388
726,251605,17.66,309
727,251975,234.19,370
728,252243,32.76,268
729,252533,52.64,290
730,252911,228.25,378
731,253179,6.19,268
732,253577,261.03,398
733,254577,126.73,1000
734,255184,156.11,607
735,255554,234.4,370
736,255924,244.34,370
737,256260,20.54,336
738,256654,226.49,394
739,257044,231.15,390
740,257363,243.86,319
741,257682,248.44,319
742,258078,230.56,396
743,258316,11.33,238
744,258625,244.39,309
745,258980,251.5,355
746,259312,243.83,332
747,259693,203.07,381
748,260047,264.01,354
749,260401,244.95,354
750,260818,267.21,417
751,261169,259.07,351
752,262169,142.48,1000
753,262544,214.37,375
754,262921,241.92,377
755,263277,260.37,356
756,263616,238.0,339
757,263946,207.32,330
758,264266,264.52,320
759,264645,218.03,379
760,265156,190.39,511
761,265528,212.82,372
762,265869,253.54,341
763,266204,271.02,335
764,266577,233.12,373
765,266896,18.96,319
766,267224,237.58,328
767,267619,257.48,395
768,267980,254.03,361
769,268421,228.17,441
770,268748,248.31,327
771,269099,257.34,351
772,269467,218.94,368
773,269848,272.62,381
774,270142,279.15,294
775,270464,252.88,322
776,270786,250.51,322
777,271227,269.29,441
778,271551,246.06,324
779,271918,259.19,367
780,272216,266.62,298
781,272545,273.21,329
782,272904,260.5,359
783,273214,250.37,310
784,273735,204.27,521
785,274025,291.47,290
786,274298,285.89,273
787,274640,276.38,342
788,274896,19.53,256
789,275264,274.18,368
790,275554,266.94,290
791,275898,248.4,344
792,276256,272.2,358
793,276590,254.13,334
794,276855,36.97,265
795,277179,219.14,324
796,277502,269.98,323
797,277826,270.3,324
798,278173,278.1,347
799,278478,272.91,305
800,278777,281.03,299
801,279144,259.47,367
802,279478,273.21,334
803,279861,260.04,383
804,280197,249.68,336
805,280506,234.08,309
806,280844,247.8,338
